2005,LAM,0.0679370421262342
2005,OAS,0.0647099639126734
2005,SSA,0.0336048234692907
2005,EUR,0.0993166118961759
2005,NEU,0.0577890241297207
2005,MEA,0.0263633548813395
2005,REF,0.0415509628691062
2005,CAZ,0.0703775049382835
2005,CHA,0.00669470060061155
2005,IND,0.053782280944228
2005,JPN,0.0191608099577657
2005,USA,0.0700185353068638
2010,LAM,0.140009249950366
2010,OAS,0.140497892993034
2010,SSA,0.112458443816332
2010,EUR,0.18561525753536
2010,NEU,0.12894535013419
2010,MEA,0.0790923288383289
2010,REF,0.0876610950143345
2010,CAZ,0.130209448826569
2010,CHA,0.198247126313641
2010,IND,0.201445846005037
2010,JPN,0.337673072166837
2010,USA,0.17770451731621
2015,LAM,0.138386868873186
2015,OAS,0.153812716810768
2015,SSA,0.114005880165559
2015,EUR,0.182962164058166
2015,NEU,0.140233942956864
2015,MEA,0.0802836359545341
2015,REF,0.095762367827196
2015,CAZ,0.147915889819427
2015,CHA,0.203222588159066
2015,IND,0.201132475691318
2015,JPN,0.188210035189962
2015,USA,0.1918820004741
2020,LAM,0.172045392791208
2020,OAS,0.175190117616441
2020,SSA,0.118448425462002
2020,EUR,0.170372996815769
2020,NEU,0.143017963900145
2020,MEA,0.0830674459088321
2020,REF,0.0958366190893528
2020,CAZ,0.144370724956359
2020,CHA,0.190925912049405
2020,IND,0.186224216517142
2020,JPN,0.175250521544402
2020,USA,0.186456296133774
2025,LAM,0.187900797612424
2025,OAS,0.189158526475079
2025,SSA,0.144003281758595
2025,EUR,0.206583837989103
2025,NEU,0.145669894248076
2025,MEA,0.0898853939746669
2025,REF,0.100753683633393
2025,CAZ,0.152613330507134
2025,CHA,0.22704889283288
2025,IND,0.222281266703074
2025,JPN,0.210375386275967
2025,USA,0.200654465945492
2030,LAM,0.214579938112134
2030,OAS,0.215444177761737
2030,SSA,0.172058582368178
2030,EUR,0.221859241591369
2030,NEU,0.158172054813839
2030,MEA,0.0974635119680316
2030,REF,0.106705279397459
2030,CAZ,0.163909437069905
2030,CHA,0.241882966759503
2030,IND,0.238233203470018
2030,JPN,0.223804079372545
2030,USA,0.205512623870513
2035,LAM,0.230361381002421
2035,OAS,0.235817597943041
2035,SSA,0.188404110221666
2035,EUR,0.223680839049212
2035,NEU,0.16539165516272
2035,MEA,0.10524855193937
2035,REF,0.111442170646951
2035,CAZ,0.167068880497422
2035,CHA,0.24876670884911
2035,IND,0.247296224357805
2035,JPN,0.230088598748201
2035,USA,0.21222218011336
2040,LAM,0.24849461731393
2040,OAS,0.252869961505861
2040,SSA,0.205407703240121
2040,EUR,0.232123846182837
2040,NEU,0.172855409981849
2040,MEA,0.113216941227733
2040,REF,0.116705896884889
2040,CAZ,0.175279505721873
2040,CHA,0.262274762976242
2040,IND,0.25888390764702
2040,JPN,0.238783344522503
2040,USA,0.220345040624716
2045,LAM,0.262343508130348
2045,OAS,0.267465177127974
2045,SSA,0.224152395530627
2045,EUR,0.245803051950525
2045,NEU,0.179831225633578
2045,MEA,0.122429184178223
2045,REF,0.121296473934514
2045,CAZ,0.182876487569845
2045,CHA,0.276499588014271
2045,IND,0.273370227612879
2045,JPN,0.252865275020772
2045,USA,0.22767175107081
2050,LAM,0.28354522771579
2050,OAS,0.282821180540749
2050,SSA,0.243475038561366
2050,EUR,0.26020050773444
2050,NEU,0.187634720875773
2050,MEA,0.132363756413029
2050,REF,0.127557671035617
2050,CAZ,0.192212529880321
2050,CHA,0.291463270822845
2050,IND,0.288605260364943
2050,JPN,0.267679254650607
2050,USA,0.236907163358906
2055,LAM,0.287503296062456
2055,OAS,0.281825015951546
2055,SSA,0.254154138569649
2055,EUR,0.259271350031585
2055,NEU,0.188373017789357
2055,MEA,0.140705595395728
2055,REF,0.130120534424735
2055,CAZ,0.188111582250659
2055,CHA,0.290492700741664
2055,IND,0.287615953973815
2055,JPN,0.266710387026164
2055,USA,0.23277380967603
2060,LAM,0.338436649046974
2060,OAS,0.330335394412519
2060,SSA,0.301057075656326
2060,EUR,0.304724185829629
2060,NEU,0.208081200459844
2060,MEA,0.158030336830983
2060,REF,0.138772294840001
2060,CAZ,0.202975842375712
2060,CHA,0.337763980506768
2060,IND,0.335739329334736
2060,JPN,0.313495908625452
2060,USA,0.251152063744839
2070,LAM,0.358711310414948
2070,OAS,0.347246728171675
2070,SSA,0.344766772167403
2070,EUR,0.320596666411894
2070,NEU,0.224120292333583
2070,MEA,0.196054602107567
2070,REF,0.15443726937943
2070,CAZ,0.21717431038766
2070,CHA,0.354242689476677
2070,IND,0.352512466074112
2070,JPN,0.32980820019292
2070,USA,0.257366012582579
2080,LAM,0.396577653277662
2080,OAS,0.384892792947927
2080,SSA,0.38228406167486
2080,EUR,0.355863372992932
2080,NEU,0.243729089682377
2080,MEA,0.23338897473838
2080,REF,0.174366909926167
2080,CAZ,0.237780794047619
2080,CHA,0.39092520544318
2080,IND,0.389849387076141
2080,JPN,0.366109081675503
2080,USA,0.279381124866336
2090,LAM,0.424431531365123
2090,OAS,0.412579331143708
2090,SSA,0.409879057231094
2090,EUR,0.381803832520205
2090,NEU,0.259164435884603
2090,MEA,0.263832735705314
2090,REF,0.195478686751604
2090,CAZ,0.250508166303682
2090,CHA,0.417902688744492
2090,IND,0.417308172855979
2090,JPN,0.39280322584657
2090,USA,0.281400546412898
2100,LAM,0.441582424893419
2100,OAS,0.429628705255177
2100,SSA,0.426873885208286
2100,EUR,0.385495653242412
2100,NEU,0.268093523060621
2100,MEA,0.286212689101653
2100,REF,0.221822755283874
